DATE,코로나19(방역정책),건설사고,기업·경제,교육·저출산
11/1/21,3152.72446900948,2305.73300692689,1402.86603385023,1040.48984962926
11/2/21,2571.85701338216,1600.94326645549,1453.36654313252,169.292887065564
11/3/21,935.183902908382,607.135756953822,1375.60144438243,762.240315436036
11/4/21,1586.87281563917,357.994312550116,1414.57765802054,1522.1742388075
11/5/21,3328.50352970151,932.007043881494,1003.28102256516,1594.93540613987
11/6/21,3256.09463916241,2179.80870634249,184.950970399201,975.808745192894
11/7/21,2460.68462856617,2343.54536894445,682.777913878741,450.460383960506
11/8/21,1533.67314020309,2249.77921230308,1375.47981188675,278.723988809538
11/9/21,1037.51346600925,1648.11500464724,1444.14645284086,317.237942225757
11/10/21,1087.31760672649,824.718191342202,1393.13078247245,662.488028520472
11/11/21,1648.90317494924,264.423327503944,1402.3655056213,1430.7978091587
11/12/21,3075.58069847152,882.164838480604,1060.51132064282,1332.81005537011
11/13/21,3356.583363901,2311.76168072351,398.676384153634,1502.57412187429
11/14/21,3547.96589017747,2177.71260476236,452.272163270053,917.483723273339
11/15/21,3098.41115168911,2035.80772504377,1172.94121074309,227.850219356604
11/16/21,2311.76975620307,2000.60751578315,1984.7335328987,851.762219938756
11/17/21,1008.08828703636,1460.90654117266,2108.96432945839,1824.22920031034
11/18/21,2006.45565977756,447.26095565841,2101.47649607991,1726.13656669255
11/19/21,3206.5318451136,880.232825189838,1455.42825191555,1747.32672536688
11/20/21,3406.11262817752,2142.67457718287,669.544465491865,1782.74371091091
11/21/21,3168.66136451798,2123.39439184176,1055.66180789576,1065.87600199737
11/22/21,3598.75462244816,2136.09939669823,2056.51937432925,238.533480863205
11/23/21,3518.80054665201,2150.69175872776,2106.09311928138,689.199811924379
11/24/21,991.984905666835,1439.98477818652,1901.57957913721,1638.54634209244
11/25/21,863.050475552484,372.544650128828,2147.42029321996,1601.0130167021
11/26/21,1663.89105616488,900.075968227803,1374.87155003783,1725.519737493
11/27/21,3221.3498500778,2131.1573016165,370.882701137597,1740.72605704716
11/28/21,2728.54676566795,2092.36326554354,965.541361514305,1088.12823851424
11/29/21,2917.6397733108,2273.49013356631,1900.65951882925,391.756825120972
11/30/21,2070.94535182921,2190.67615725794,2163.40700513513,878.611365366741
12/1/21,754.487081723829,1577.17168182394,1931.10053656889,1751.08907740347
12/2/21,1608.19624018453,352.405511980997,2473.55019201323,1782.99398084172
12/3/21,2688.53170882258,867.177692156258,1442.49485817725,1647.63490901252
12/4/21,2908.52011375537,2168.30539410654,403.120343414556,519.507548145449
12/5/21,2718.66729555095,2194.08956141123,813.33649677758,100.641963476543
12/6/21,2413.74824896175,2209.57449380996,2055.32008461239,1198.48562035058
12/7/21,1943.25325764614,2043.76901471074,1991.20986360385,1378.6013376976
12/8/21,951.439426676211,1944.29290956604,1401.88453070852,569.266333170843
12/9/21,1414.68876782254,1922.54128864558,1430.67230144457,232.681561474048
12/10/21,2506.1488695305,1661.69775444579,1398.8756820159,76.4859854538399
12/11/21,2606.2712326397,1552.76090474244,935.884932971703,1744.82625792391
12/12/21,2488.33703345799,1470.34412574556,168.718937323239,252.682631706478
12/13/21,2541.25077579703,1636.60052747025,724.407944450874,721.950329085388
12/14/21,2175.59942088323,1732.427746399,1508.60259312829,619.866994872083
12/15/21,908.497062939597,1837.4397806965,1365.84429708925,960.552958595339
12/16/21,1548.43522178397,1868.38332260696,1323.77545986025,289.562862963018
12/17/21,2699.77783845927,2006.74975115191,1471.01146802324,266.356967045955
12/18/21,2715.90477933656,1819.87920135456,1028.2592515364,770.168742439335
12/19/21,2506.29882846186,2286.1053343934,326.627558034997,1570.66885111129
12/20/21,2648.40327452491,1861.63549061537,540.639249292169,1174.25056099641
12/21/21,2088.56763734655,1515.14576475763,1169.71314661331,368.303951398036
12/22/21,764.238110237268,1755.06263707248,1954.6984439787,171.98610615601
12/23/21,1557.72789733188,1762.33959009023,2113.15462026727,158.85713888764
12/24/21,2483.99948899365,1362.80945340911,2138.10582640799,174.692756052252
12/25/21,2443.29081498657,1826.37281089557,1461.65751579558,1504.32712992446
12/26/21,2831.54201140162,1982.60688085297,609.31751926451,1765.71076120066
12/27/21,2699.26768095648,1745.01022673301,1052.2340737951,2051.75447338564
12/28/21,3131.47490900284,1349.09534585704,1603.86367763454,1687.74616040145
12/29/21,3088.03998774806,1849.23823184485,1815.98175424937,1768.99870126071
12/30/21,3261.72877981992,2090.48624638053,1996.19181970134,1472.77674066857
12/31/21,3099.53330289958,1914.45144124194,1852.81115329272,1804.06791803624